"","country","population","year","Co2 Rate","co2","cement_co2","coal_co2","flaring_co2","gas_co2","oil_co2","co2_normalised"
"1","Afghanistan",36686788,2018,0.295,10.818,0.057,3.847,0,0.293,6.621,2.94874547207567e-07
"2","Africa",1295265310,2018,1.055,1366.411,80.124,418.017,59.245,287.462,521.562,1.054927503617e-06
"3","Albania",2877019,2018,1.732,4.984,1.017,0.473,0.014,0.15,3.331,1.73234865671725e-06
"4","Algeria",41927008,2018,4.148,173.912,12.382,1.33,16.391,88.887,54.922,4.14797068276372e-06
"5","Andorra",75034,2018,6.592,0.495,0,0,0,0,0.495,6.59700935575872e-06
"6","Angola",31273538,2018,0.728,22.779,1.046,0,5.251,1.608,14.874,7.28379373002185e-07
"7","Anguilla",15201,2018,9.4,0.143,0,0,0,0,0.143,9.40727583711598e-06
"8","Antigua and Barbuda",91644,2018,5.437,0.498,0,0,0,0,0.498,5.43407097027629e-06
"9","Argentina",44413592,2018,4.066,180.599,4.369,4.356,1.359,96.123,74.392,4.06630024430359e-06
"10","Armenia",2836563,2018,2.054,5.826,0.315,0.004,0,4.679,0.828,2.05389409648226e-06
"11","Aruba",105980,2018,8.228,0.872,0,0,0,0,0.872,8.22796754104548e-06
"12","Asia",4588802751,2018,4.454,20437.713,1260.604,11148.442,121.688,2957.418,4748.653,4.45382251297382e-06
"13","Australia",24979228,2018,16.665,416.284,2.942,169.37,16.926,79.435,143.712,1.66652067870152e-05
"14","Austria",8840518,2018,7.529,66.557,1.827,12.295,0.127,17.019,34.085,7.52863124083905e-06
"15","Azerbaijan",10152524,2018,3.406,34.576,1.083,0.004,0.37,21.284,11.835,3.40565557884916e-06
"16","Bahamas",401911,2018,6.719,2.7,0,0.004,0,0,2.697,6.7179052078694e-06
"17","Bahrain",1487346,2018,22.044,32.787,0.559,0,0.143,28.407,3.679,2.20439628707779e-05
"18","Bangladesh",163683952,2018,0.504,82.494,1.332,8.178,0.019,53.379,19.585,5.03983432658078e-07
"19","Barbados",279702,2018,4.601,1.287,0.071,0,0.018,0.055,1.143,4.60132569663427e-06
"20","Belarus",9695573,2018,6.404,62.094,2.163,3.963,0.006,36.751,18.178,6.40436619888273e-06
"21","Belgium",11448598,2018,8.724,99.874,2.534,13.367,0.121,36.098,45.714,8.7236882629646e-06
"22","Belize",382076,2018,1.582,0.605,0,0,0,0.004,0.601,1.58345460065537e-06
"23","Benin",11940688,2018,0.623,7.434,0.392,0,0,0.037,7.006,6.22577191532012e-07
"24","Bermuda",63591,2018,11.063,0.703,0,0,0,0,0.703,1.10550235096161e-05
"25","Bhutan",762104,2018,1.771,1.349,0.359,0.424,0,0,0.566,1.77009961894964e-06
"26","Bolivia",11606906,2018,2.05,23.799,1.482,0.022,0.051,9.351,12.894,2.05041722574474e-06
"27","Bonaire Sint Eustatius and Saba",24995,2018,3.958,0.099,0,0,0,0,0.099,3.96079215843169e-06
"28","Bosnia and Herzegovina",3400132,2018,6.492,22.075,0.381,16.601,0,0.454,4.639,6.49239500113525e-06
"29","Botswana",2451411,2018,3.061,7.504,0,4.624,0,0,2.88,3.06109420248175e-06
"30","Brazil",210166592,2018,2.27,477.102,19.342,65.841,17.505,67.417,300.605,2.27011341555179e-06
"31","British Virgin Islands",30359,2018,5.31,0.161,0,0,0,0,0.161,5.3032049804012e-06
"32","Brunei",434283,2018,21.517,9.344,0,0,0.412,7.027,1.906,2.15159239482089e-05
"33","Bulgaria",7117424,2018,6.128,43.616,1.224,22.089,0.711,5.781,12.556,6.12805981489932e-06
"34","Burkina Faso",20392730,2018,0.243,4.948,0.767,0,0,0,4.181,2.42635488235268e-07
"35","Burundi",11493476,2018,0.059,0.684,0.039,0.018,0,0,0.627,5.95120222985631e-08
"36","Cambodia",16025242,2018,0.898,14.388,3.316,3.84,0,0,7.233,8.97833555337261e-07
"37","Cameroon",25076752,2018,0.384,9.634,1.085,0,2.009,1.459,5.081,3.84180535023037e-07
"38","Canada",37035260,2018,15.779,584.369,6.915,60.796,15.55,231.98,266.964,1.57787200629886e-05
"39","Cape Verde",571209,2018,1.02,0.583,0,0,0,0,0.583,1.02064218175834e-06
"40","Central African Republic",5094795,2018,0.043,0.22,0,0,0,0,0.22,4.31813252544999e-08
"41","Chad",15604213,2018,0.129,2.007,0.155,0,0.397,0,1.455,1.28619110749129e-07
"42","Chile",18701452,2018,4.517,84.469,0.782,27.049,0.089,9.981,46.568,4.51670811442876e-06
"43","China",1417069440,2018,7.307,10353.877,786.745,7316.4,3.351,575.369,1500.474,7.30654173164584e-06
"44","Colombia",49276968,2018,1.673,82.427,5.301,13.714,1.045,23.447,38.919,1.67272872795258e-06
"45","Comoros",776322,2018,0.378,0.293,0,0,0,0,0.293,3.77420709447884e-07
"46","Congo",5441061,2018,1.212,6.596,0.271,0,2.976,1.343,2.006,1.2122635640365e-06
"47","Cook Islands",17276,2018,4.666,0.081,0,0,0,0,0.081,4.68858532067608e-06
"48","Costa Rica",5040738,2018,1.633,8.229,0.737,0,0,0,7.493,1.63249905073424e-06
"49","Cote d'Ivoire",25493990,2018,0.406,10.352,0,0,0.097,3.929,6.326,4.06056486254211e-07
"50","Croatia",4160488,2018,4.26,17.724,1.211,1.449,0.285,5.042,9.586,4.2600771832535e-06
"51","Cuba",11328243,2018,1.998,22.631,0.716,0.015,0.027,1.861,20.013,1.99775022481421e-06
"52","Curacao",184734,2018,21.54,3.979,0,0,0,0.103,3.876,2.15390778091743e-05
